Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source
"Beri Masukan ke Prabowo untuk Debat Terakhir, Gibran: Rahasia, Lihat Saja Besok",3/2/2024,https://nasional.kompas.com/read/2024/02/03/20355491/beri-masukan-ke-prabowo-untuk-debat-terakhir-gibran-rahasia-lihat-saja-besok," JAKARTA, KOMPAS.com - Calon wakil presiden nomor urut 2 Gibran Rakabuming Raka mengaku memberi masukan kepada calon presiden nomor urut 2 Prabowo Subianto untuk debat terakhir pemilihan presiden (Pilpres) 2024. Namun, ia merasahasikan masukan tersebut. “Rahasia, pokoknya persiapan sudah cukup baik, ya lihat besok saja ya,” ujar Gibran usai menghadiri festival Negeri Elok di Cilandak, Jakarta Selatan, Sabtu (3/2/2024) petang. Gibran juga meyakini, Prabowo bakal menguasai debat. “Insyaallah beliau menguasai ya,” ujar putra sulung Presiden Joko Widodo itu. Dalam konferensi pers saat menghadiri festival Negeri Elok, Prabowo juga memuji Gibran terkait debat. “Malu sama Mas Gibran, latihannya (debat) benar. Jadi saya mau latihan, takut nanti dikasih nilai rendah lagi saya,” kata Prabowo. Adapun debat kelima menjadi debat terakhir sebelum hari pemungutan suara tanggal 14 Februari 2024 mendatang. Debat pamungkas itu bakal diadakan di Jakarta Convention Center (JCC), Senayan, Jakarta Pusat, Minggu (4/2/2024). Tiga capres, yakni Anies Baswedan, Prabowo Subianto, dan Ganjar Pranowo akan adu gagasan seputar isu kesejahteraan sosial, pembangunan SDM, dan inklusi. Sub tema debat meliputi pendidikan, kesehatan, ketenagakerjaan, kebudayaan, teknologi informasi, kesejahteraan sosial, dan inklusi.",Prabowo Subianto,Gibran Rakabuming,Debat capres terakhir,Prabowo-Gibran,nan,kompas
"Dedi Sebut Istri Tewas Tersedak Permen, Polisi Punya Bukti Bekas Cekikan","Kamis, 08 Agu 2024 16:58 WIB",https://news.detik.com/berita/d-7480007/dedi-sebut-istri-tewas-tersedak-permen-polisi-punya-bukti-bekas-cekikan,"Suami siri, Dedi Susanto (37), tega membunuh istrinya, Maryam (36), di kamar hotel di Kecamatan Tongas, Probolinggo, Jawa Timur. Dedi tak mengakui perbuatannya dan malah berdalih istrinya meninggal akibat tersedak permen.Kasus bermula ketika seorang perempuan ditemukan tewas di kamar Hotel Bromo Indah, Desa Bayeman, Tongas, Kabupaten Probolinggo. Perempuan bernama Maryam (36) itu ditemukan Minggu (4/8/2024), sekitar pukul 20.15 WIB. Pada tubuh korban, ditemukan luka lebam di bagian tangan serta bekas cekikan di lehernya.Dedi mengatakan dia dan korban check in di Hotel Bromo Indah pada Minggu (4/8), sekitar pukul 10.00 WIB. Di dalam kamar, keduanya berhubungan suami istri hingga 3 kali. Namun, lanjut Dedi, saat hendak check out sekitar pukul 15.30 WIB, korban terlebih dulu memakan permen. Tak lama kemudian, korban kejang-kejang. Dedi mengaku langsung memberi pertolongan ke istri sirinya.""Setelah tersedak permen dan kejang-kejang, saya langsung tekan dada dan perutnya. Bahkan saya sempat naikkan ke sepeda motor untuk dibawa ke rumah sakit, yang kebetulan sepeda motor milik korban parkir di dalam kamar,"" kata Dedi, dilansir detikJatim, Kamis (8/8).Kapolres Probolinggo Kota AKBP Oki Ahadian mengatakan Dedi telah ditetapkan sebagai tersangka setelah dilakukan pemeriksaan hasil autopsi korban beserta para saksi. Berdasarkan hasil autopsi jasad korban, menurut Oki, memang ditemukan bekas kekerasan di tubuh korban.""Tersangka merupakan teman kencan atau teman check in korban, meski dari tersangka sampai saat ini belum mengaku. Selain itu, kami juga pastikan jika korban tidak dalam keadaan hamil,"" ujar Oki kepada wartawan, Rabu (7/8).Berdasarkan hasil autopsi jasad korban, kata Oki, memang ditemukan bekas kekerasan di tubuh korban. Atas dasar itu, Dedi ditetapkan sebagai tersangka.""Dari keterangan ahli, ditemukan bekas benturan kepala dengan benda keras sehingga membuat pecahnya pembuluh darah yang luas di otak korban. Selain itu, ditemukan juga bekas cekikan di leher yang mengakibatkan terhalangnya oksigen,"" tutur Oki.Baca selengkapnya di sini.Lihat juga Video: Ketika Amarah Tamara Tyasmara ke Keluarga Yudha Ditegur Hakim[Gambas:Video 20detik]",pembunuhan,pembunuhan di probolinggo,suami bunuh istri,probolinggo,jatim,detik
Saat Capres Ganjar Pranowo Sindir 3 Purnawirawan Jenderal yang Disebutnya Mencla-mencle,2/8/2024,https://nasional.tempo.co/read/1831341/saat-capres-ganjar-pranowo-sindir-3-purnawirawan-jenderal-yang-disebutnya-mencla-mencle,"TEMPO.CO, Jakarta - Calon Presiden Ganjar Pranowo mengeluarkan sindiran tajam terhadap tiga purnawirawan jenderal yang disebutnya sebagai ""mencla-mencle"". Dalam sebuah pernyataan di Jakarta, Ia menyoroti konsistensi dan integritas dalam politik dan menegaskan pentingnya menghargai sejarah dan menjadi patriot sejati bagi bangsa ini. ""Bapak dan ibu saya mengajarkan biasa disiplin karena anak militer, Brimob, anak polisi, biasakan satu pikiran, perkataan, dan perbuatan. Jangan jadi orang yang mencla-mencle,"" kata Ganjar dalam keterangannya di Jakarta, Rabu, 7 Februari 2024, sebagaimana dikutip dari Antara. Tim Kampanye Donald Trump Cari Cara Menangkan Suara dari Kalangan Kulit Hitam  Salah satu purnawirawan jenderal yang disebutkan dalam pernyataannya adalah seorang pensiunan jenderal bintang empat yang pada dua pemilu sebelumnya dikabarkan pernah menyatakan, ""Dia yang saya pecat."" Ganjar juga menyinggung bahwa jenderal tersebut pernah berbicara dalam sebuah diskusi, mengkritik catatan sejarah dan psikologi seseorang yang diduga menjadi target pernyataannya. Namun, Ganjar tidak merinci secara spesifik siapa jenderal-jenderal yang dimaksud dalam pernyataannya. Di lain kesempatan pada hari yang sama, Ganjar kembali menyebut soal pensiunan jenderal mencla-mencle. Ia menyebut ada tokoh jenderal yang menyebut jangan memilih calon tertentu karena latar belakangnya, namun kini sang purnawirawan jenderal tersebut pindah haluan mendukung calon itu. Sejumlah Kritik Faisal Basri Terhadap Pemerintahan Jokowi, dari Bansos Pilpres 2024 hingga Kenaikan PPN 12 Persen “Sesuatu yang tidak bisa saya jadikan panutan dengan disiplin yang diajarkan oleh keluarga saya. Anda ternyata mencla-mencle, Anda bukan panutan saya,” kata Ganjar dalam kunjungannya ke De Tjolomadoe, Kecamatan Colomadu, Kabupaten Karanganyar, Rabu, 7 Februari 2024. Lebih lanjut, Ganjar Pranowo akhirnya menyebutkan tiga nama jenderal yang ia maksud. “Ada Pak Wiranto, ada Pak Agum, terakhir Pak Luhut kalau tidak salah menyampaikan dukungannya. Dan beliau-beliau itu sudah ada rekamannya menyampaikan itu,” kata dia. Wiranto Lahir pada 4 April 1947 di Yogyakarta, Wiranto memulai karier militernya setelah lulus dari Akademi Militer Nasional Magelang pada tahun 1968. Selama berkarier di militer, Wiranto berhasil mencapai pangkat Jenderal TNI dan menduduki beberapa jabatan penting, termasuk Panglima ABRI dan Menteri Pertahanan. Selain karier militernya yang cemerlang, Wiranto juga terlibat aktif dalam berbagai organisasi olahraga, seperti Federasi Karatedo Indonesia (FORKI) dan Gabungan Bridge Seluruh Indonesia (GABSI). Kontribusinya dalam mendukung reformasi demokratis di Indonesia serta penghormatan terhadap konstitusi selama era reformasi juga diakui. Sejak akhir 2019, Wiranto ditunjuk oleh Presiden Joko Widodo untuk memegang posisi sebagai Ketua Dewan Pertimbangan Presiden, menggambarkan kepercayaan pemerintah padanya dalam memberikan saran dan pandangan strategis untuk kepentingan negara. Agum Gumelar Agum Gumelar adalah seorang figur yang memiliki latar belakang militer kuat. Setelah lulus dari Akademi Angkatan Bersenjata pada tahun 1968, Agum membangun karier militernya dengan gemilang, termasuk menjabat sebagai Panglima Komando Daerah Militer VII/Wirabuana. Namun, kemudian Agum memutuskan untuk beralih ke dunia politik, dan pada Pilpres 2004, ia mencalonkan diri sebagai calon wakil presiden. Selain aktif di ranah politik, Agum juga terlibat dalam pengembangan sepak bola di Indonesia, mengemban jabatan sebagai Ketua Komite Normalisasi PSSI pada tahun 2011. Di samping aktivitasnya dalam bidang politik dan olahraga, saat ini Agum Gumelar juga menjabat sebagai Ketua Majelis Wali Amanat Universitas Pendidikan Indonesia (UPI). Luhut Binsar Pandjaitan Luhut Binsar Pandjaitan adalah seorang Purnawirawan Jenderal TNI yang lahir di Simargala, Huta Namora, Silaen, Toba Samosir, Sumatera Utara pada 28 September 1947. Saat ini, ia menjabat sebagai Menteri Koordinator Bidang Kemaritiman Indonesia. Sebelumnya, Luhut juga telah menjabat sebagai Kepala Staf Kepresidenan Republik Indonesia dari 31 Desember 2014 hingga 2 September 2015. Selanjutnya, pada 12 Agustus 2015, ia ditunjuk oleh Presiden Joko Widodo sebagai Menteri Koordinator Bidang Politik, Hukum, dan Keamanan menggantikan Tedjo Edhy Purdijatno. Pada reshuffle Kabinet Kerja Jilid II pada 27 Juli 2016, Luhut Binsar Pandjaitan diangkat menjadi Menteri Koordinator Kemaritiman menggantikan Rizal Ramli. ",Ganjar Pranowo,Tim Pemenangan Ganjar Pranowo,Ganjar,Pilpres 2024,Wiranto,tempo
"Ridwan Kamil Tiba di Rumah Dinas Airlangga, Rencana Bahas Pilgub Jakarta","Kamis, 08 Agu 2024 20:24 WIB",https://news.detik.com/pemilu/d-7480439/ridwan-kamil-tiba-di-rumah-dinas-airlangga-rencana-bahas-pilgub-jakarta,"Ridwan Kamil (RK) mendatangi rumah dinas Ketua Umum Partai Golkar, Airlangga Hartarto di Jalan Widya Chandra, Jakarta Selatan. RK datang sendiri dengan berjalan kaki dari gerbang kompleks.Pantauan detikcom di lokasi, Kamis (8/8/2024), RK tiba di rumah Airlangga pukul 19.30 WIB. RK datang mengenakan baju putih dengan outer berwarna biru.Kedatangan RK ini ditengarai menyangkut pembahasan soal Pilgub DKI Jakarta. Hal ini juga dibenarkan oleh Wakil Ketua Umum Partai Golkar, Ahmad Doli Kurnia.""Belum (deklarasi). Ini kan Pak Ketum kita belum pernah ketemu saudara RK setelah kita memutuskan mendukung saudara Dedi Mulyadi di Jawa Barat. Artinya bahwa tiket yang dimiliki saudara Ridwan Kamil kana tinggal di Jakarta,"" kata Doli kepada wartawan di rumah Airlangga.Selain RK, hadir juga Jusuf Hamka dan sejumlah petinggi seperti Dito Ganinduto serta Maman Abdurahman. Pertemuan pun dilakukan tertutup di kediaman Airlangga.Simak juga Video: Golkar: Partai di KIM Plus Terima Ridwan Kamil Maju Pilgub Jakarta[Gambas:Video 20detik]",ridwan kamil,pilgub jakarta,airlangga hartanto,golkar,nan,detik
"Setahun Menanti Janji Polisi, Firli Bahuri Belum Juga Ditahan meski Berstatus Tersangka",22/08/2024,https://megapolitan.kompas.com/read/2024/08/22/06145011/setahun-menanti-janji-polisi-firli-bahuri-belum-juga-ditahan-meski," JAKARTA, KOMPAS.com - Sudah hampir satu tahun sejak November 2023, Polda Metro Jaya belum menahan mantan Ketua Komisi Pemberantasan Korupsi (KPK), Firli Bahuri, meskipun yang bersangkutan telah ditetapkan sebagai tersangka. Firli, yang merupakan purnawirawan polisi berpangkat Komisaris Jenderal (Komjen), diduga memeras mantan Menteri Pertanian (Mentan) Syahrul Yasin Limpo (SYL) terkait kasus tindak pidana korupsi (tipikor) di Kementerian Pertanian yang sedang diselidiki KPK. Terdapat juga laporan mengenai dugaan pertemuan antara Firli dan SYL di sebuah lapangan bulu tangkis di Jakarta saat Firli masih menjabat sebagai Ketua KPK. Mengenai kasus ini, Direktorat Reserse Kriminal Khusus (Ditreskrimsus) Polda Metro Jaya telah meningkatkan status perkara dari penyelidikan menjadi penyidikan. Pemberkasan kasus dugaan pemerasan ini masih dalam proses setelah berkas dikembalikan oleh kejaksaan untuk dilengkapi. Sementara itu, penyidikan terkait dugaan pertemuan Firli dengan SYL di lapangan bulu tangkis masih berlangsung. “Saat ini terus berprogres, penyidikan masih terus berlangsung. Nanti ada update, akan kami sampaikan,” kata Ade di Polda Metro Jaya, Rabu (21/8/2024). Penyidik belum dapat memastikan apakah dua berkas perkara tersebut akan digabungkan atau tidak. “Tergantung dari jaksa penuntut umum (JPU), apakah nanti akan mengemas dalam satu dakwaan? Yang jelas, SPDP dari dua perkara yang dimaksud sudah diterima oleh JPU,” ujar Ade. Setelah penyidikan selesai, tim penyidik Ditreskrimsus Polda Metro Jaya akan menggelar gelar perkara untuk menentukan penetapan tersangka Firli dalam kasus dugaan pertemuan dengan SYL. “Saat ini penyidik sedang melakukan penyidikan. Setelah lengkap, kami akan melakukan gelar perkara penetapan tersangka,” tegas Ade. Saat ditanya apakah Polda Metro Jaya akan menunda status tersangka Firli mengingat kasus telah bergulir sejak lama, Ade memastikan bahwa penyidikan akan dituntaskan. “Sekali lagi, kami sampaikan bahwa penyidikan dalam dua perkara ini akan berjalan secara profesional, transparan, dan akuntabel,” kata Ade. Ade juga menegaskan bahwa penyidik akan menjalankan tugas sesuai dengan koridor hukum dan menuntaskan penyidikan perkara ini. “Kami janji tuntas, menuntaskan penyidikan perkara ini,” pungkas Ade.",Polda Metro Jaya,Syahrul Yasin Limpo,Firli Bahuri,nan,nan,kompas
Prabowo Tak Ambil Pusing soal Anies Beri Skor 11/100 Kinerja Kemehan,"Selasa, 09 Jan 2024 21:40 WIB",https://news.detik.com/pemilu/d-7133231/prabowo-tak-ambil-pusing-soal-anies-beri-skor-11-100-kinerja-kemehan,"Cawapres nomor urut 01 Anies Baswedan memberikan nilai 11 dari 100 untuk Kementerian Pertahanan (Kemenhan) yang dipimpin oleh Menhan Prabowo Subianto. Prabowo yang juga merupakan capres nomor urut 02 tak memikirkan penilaian itu. ""Saudara, ada yang nonton debat tempo hari lalu. Alhamdulilah saya diberi nilai 11 dari 100,"" kata Prabowo saat kampanye di Jambi, seperti dilansir detikSumbagsel, Selasa (9/1/2024). Menurut Prabowo, nilai 11 yang diberikan oleh Anies saat debat Capres ketiga itu merupakan nilai yang begitu luar biasa baginya. Prabowo kemudian mengungkit orang yang pernah diberikan kebaikan olehnya.   ""Itu nilai luar biasa, pertama kali nilai dalam hidup saya, saya terima nilai itu dari orang yang pernah saya berikan kebaikan, saudara-saudara sekalian,"" ucap Prabowo. Bagi Prabowo, penilaian tersebut tak menjadi masalah besar. Sebab, menurutnya, penilaian dari Anies itu tidak perlu dipikirkan. ""Saya ini lahir di Jakarta, ada bahasa Betawi tadi di Pekanbaru saya singgung juga. Jadi kalau ada orang Betawi digituin dia jawab. Jawabnya begini kira-kira dari anak Betawi, kalau dari ente (kamu) emang gue pikirin,"" kata Prabowo, disambut tepuk tangan dan teriakan para pendukungnya. Baca selengkapnya di sini  Simak Video 'Prabowo: Saya Heran Ada Manusia Diberi Kebaikan Tapi Dibalas Kedengkian':   [Gambas:Video 20detik] ",prabowo,prabowo subianto,anies baswedan,pemilu,politik,detik
"Ditegur Megawati, Airin: Itu Rasa Sayang Ibu Terhadap Putrinya",26/08/2024,https://nasional.kompas.com/read/2024/08/26/17172471/ditegur-megawati-airin-itu-rasa-sayang-ibu-terhadap-putrinya," JAKARTA, KOMPAS.com - Bakal calon gubernur Banten Airin Rachmi Diany mengaku tak masalah ditegur Ketua Umum PDI-P Megawati Soekarnoputri saat menghadiri acara penyerahan surat keputusan (SK) atau surat rekomendasi calon kepala daerah pada Pilkada serentak 2024, Senin (26/8/2024). Menurut Airin, teguran Megawati justru seperti seorang ibu yang menegur anaknya agar bisa berbuat lebih baik ke depannya. ""Oh enggak apa-apa, itu suatu rasa sayang ibu terhadap putrinya, terhadap kami sebagai putra putrinya,"" kata Airin di Kantor DPP PDI-P, Jalan Diponegoro, Menteng, Jakarta Pusat. Mantan wali kota Tangerang Selatan itu menilai, apa yang disampaikan Megawati menjadi motivasi untuknya bahwa seorang perempuan harus tetap kuat. Airin juga mengamini pesan Megawati kepada para calon kepala daerah untuk turun ke tengah masyarakat. ""Siapa pun calon harus turun kan, untuk memastikan apa yang terjadi di lapangan, yang tadi ibu sampaikan, kita harus menjaga perikemanusiaan, bagaimana kita bekerja untuk masyarakat dengan turun langsung ke masyarakat,"" ujar Airin. ""Semua (yang disampaikan Megawati) benar, semuanya benar,"" kata kader Partai Golkar itu melanjutkan. Diberitakan sebelumnya, PDI-P resmi mengusung Airin dan Ade Sumardi untuk Pilkada Banten 2024. Dukungan itu diresmikan dengan surat keputusan yang diserahkan Megawati kepada Airin-Ade di Kantor DPP PDI-P, Senin siang. Setelah menyerahkan surat keputusan, Megawati berpidato di hadapan kader PDI-P, begitu juga Airin. Megawati empat kali menyebut sekaligus menantang Airin dalam pidatonya. Pertama, Megawati menantang Airin mengenakan pakaian berwarna merah hitam khas PDI-P seusai diusung PDI-P pada Pilkada Banten 2024. Kedua, Presiden ke-5 RI ini menantang Airin untuk menjawab bahwa benar telah terjadi kecurangan pada Pemilihan Umum (Pemilu) 2024 yang terstruktur, sistematis, dan masif (TSM). Ketiga, Megawati sempat mengingatkan Airin agar tidak menjadi pemimpin yang suka mengumbar janji atau manis di mulut saja. Terakhir, Megawati kembali menantang Airin untuk menjadi pemimpin yang peduli terhadap rakyat setelah mendapatkan dukungan dari PDI-P.",PDI-P,Pilkada Banten,Airin Rachmi Diany,megawati soekarnoputri,calon gubernur banten 2024,kompas
Pemerintah Daerah Diminta Bentuk Satgas Penanganan Kekerasan di Sekolah,20/08/2024,https://nasional.kompas.com/read/2024/08/20/09243741/pemerintah-daerah-diminta-bentuk-satgas-penanganan-kekerasan-di-sekolah," JAKARTA, KOMPAS.com - Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Kemenko PMK) mendorong pemerintah daerah untuk membentuk Satuan Tugas (Satgas) Pencegahan Kekerasan di lingkungan pendidikan. Langkah ini diperlukan karena kasus kekerasan di lingkungan pendidikan masih terjadi dan menunjukkan tren peningkatan setiap tahunnya. “Tadi beberapa rekomendasi kami sampaikan, yang pertama adalah perlunya pemerintah daerah segera membentuk Satgas Terpadu Penanganan Kekerasan di satuan pendidikan,” ujar Pelaksana Tugas (Plt) Deputi Bidang Koordinasi Peningkatan Kualitas Pendidikan dan Moderasi Beragama Kemenko PMK Warsito, Senin (19/8/2024). Menurut Warsito, Satgas tersebut harus melibatkan instansi pendidikan dan keagamaan, aparat penegak hukum, serta tokoh masyarakat. Dengan demikian, diharapkan pencegahan dan penanggulangan kasus kekerasan dapat ditangani secara menyeluruh. “Sekiranya ada perundungan, kiranya ada bullying ataupun kekerasan seksual dan seterusnya, benar-benar bisa tertangani sejak dini,” kata Warsito “Dan ketika ada terjadi pelaporan atau kejadian ini, bisa langsung tertangani mulai dari hulu hingga hilir,” sambungnya. Berdasarkan data Kemenko PMK, terdapat 2.355 kasus kekerasan di lingkungan pendidikan sepanjang Januari hingga Agustus 2023. Angka ini meningkat sebesar 10 persen dibandingkan dengan 2.133 kasus pada tahun 2022. Sementara itu, menurut data Sistem Informasi Online Perlindungan Perempuan dan Anak (Simfoni PPA), sejak 1 Januari hingga Agustus 2024 tercatat ada 1.130 korban kekerasan di lingkungan pendidikan. “Kasus ini dari tahun ke tahun masih terjadi peningkatan. Sementara kita berharap tentunya generasi muda kita ke depan benar-benar mendapatkan pendidikan yang baik,” pungkasnya.",pemerintah daerah,Kemenko PMK,satgas kekerasan seksual,nan,nan,kompas
Pimpinan DPR Dasco Tegaskan Tak Bertemu Jokowi di Tengah Demo RUU Pilkada,"Kamis, 22 Agu 2024 19:07 WIB",https://news.detik.com/pilkada/d-7503769/pimpinan-dpr-dasco-tegaskan-tak-bertemu-jokowi-di-tengah-demo-ruu-pilkada,"Wakil Ketua DPR RI Sufmi Dasco Ahmad menegaskan tidak ada pertemuan dirinya dengan Presiden Jokowi di tengah demo revisi UU Pilkada. Dasco menekankan dirinya tidak mengunjungi Istana hari ini.""Itu tadi banyak sekali yang tanya ke saya, sementara saya tidak ke Istana, tidak ketemu Pak Jokowi,"" kata Dasco, dalam jumpa pers di DPR, Kamis (22/4/2024).Isu pertemuan Dasco dengan Jokowi beredar di media sosial. Disebutkan, Dasco bertemu Jokowi di tengah aksi massa menolak pengesahan revisi UU Pilkada.Dasco menegaskan lagi tidak ada pertemuan dirinya dengan Jokowi. Dasco mengatakan tidak ada urgensi bertemu Jokowi.""Mungkin boleh dicek dari sumber-sumber wartawan Istana apakah tadi saya ke sana dan memang tidak ada urgensinya,"" kata Dasco.Simak Video: Sufmi Dasco Tegaskan Pilkada 2024 Pakai Aturan Hasil Putusan MK [Gambas:Video 20detik]",revisi uu pilkada,sufmi dasco ahmad,dpr,nan,nan,detik
"Golkar Usung Sejumlah Perempuan di Pilkada 2024: Ada Airin, Khofifah, hingga Atalia",4/8/2024,https://nasional.tempo.co/read/1854636/golkar-usung-sejumlah-perempuan-di-pilkada-2024-ada-airin-khofifah-hingga-atalia,"TEMPO.CO, Jakarta - Ketua Umum Partai Golkar, Airlangga Hartarto, mengaku telah menunjuk sejumlah kader perempuan untuk dapat berkontestasi dalam Pemilihan Kepala Daerah alias Pilkada 2024 mendatang.  Salah satu nama yang disebutkan yakni mantan Wali Kota Tangerang Selatan Airin Rachmi Diany. Airin ditugaskan Partai Golkar untuk maju sebagai bakal calon Gubernur Banten. Besok, KPU dan DPR Bahas Kotak Kosong di Pilkada 2024 ""Banten kami sudah bulat kepada Ibu Airin,"" ujar Airlangga. Pernyataan itu disampaikan dia dalam acara deklarasi dukungan Pengajian Al Hidayah dan Himpunan Wanita Karya (HWK) di Hotel Le Meridien, Jakarta Pusat, Ahad, 7 April 2024. Kedua Ormas itu mendukung kembali dirinya menjadi Ketua Umum Partai Golkar periode 2024-2029.  Kemudian, terdapat nama lain yang juga muncul, yakni Khofifah Indar Parawansa. Dia dimandatkan maju kembali sebagai bakal calon gubernur Jawa Timur. Alasan Pengurus Besar Nahdlatul Wathan Dukung Iqbal-Dinda di Pilgub NTB “Jawa timur juga Ibu Khofifah,” tuturnya.  Tidak hanya Airin dan Khofifah, terdapat istri Ridwan Kamil, Atalia Praratya. Dia disebut bakal maju dalam Pemilihan Wali Kota atau Pilwalkot kota Bandung.  “Bu Atalia akan maju sebagai wali kota, tapi ini masih menunggu perkembangan,” tuturnya.  Sebelumnya, Partai Golkar sempat mengadakan agenda pertemuan dengan calon-calon kepala daerah yang telah mendapatkan surat penugasan. Agenda tersebut dilakukan pada Sabtu, 6 April 2024.  Menurut pengakuan Airlangga, terdapat total 1164 calon kepala daerah, baik itu gubernur, bupati, maupun wali kota yang hadir dalam pertemuan tersebut.  DEFARA | YOHANES MAHARSO ",Golkar,Airin,Khofifah,Atalia,Pilkada 2024,tempo
"Persiapan Debat Cawapres, Capten Timnas Amin: Cak Imin Dimentori Anies",1/14/2024,https://nasional.tempo.co/read/1820966/persiapan-debat-cawapres-capten-timnas-amin-cak-imin-dimentori-anies,"TEMPO.CO, Jakarta - Capten Timnas Anies-Cak Imin, Muhammad Syaugi Alaydrus mengungkap persiapan calon wakil presiden nomor urut satu Muhaimin Iskandar alias Cak Imin dalam menghadapi debat cawapres 21 Januari mendatang. Cak Imin bakal dimentori Anies Baswedan.   ""Mentor Cak Imin ya Pak Anies,"" kata Syaugi saat ditemui di Sekretariat Perubahan Timnas Amin, Jalan Diponegoro X, Menteng, Jakarta Pusat, Sabtu, 13 Januari 2024.  Serba-serbi Tim Pemenangan Pramono Anung-Rano Karno Komisi Pemilihan Umum (KPU) menetapkan tema debat Pembangunan Berkelanjutan, Sumber Daya Alam, Lingkungan Hidup, Energi, Pangan, Agraria, Masyarakat Adat dan Desa. Debat ketiga akan berlangsung pada, Ahad, 21 Januari 2024.  Syaugi mengatakan bahwa persiapan debat untuk Cak Imin disiapkan dengan matang oleh Timnas Amin. Ia mengklaim telah menyiapkan materi dengan topik-topik yang akan dibahas.  Ia pun berharap bahwa debat cawapres ini tidak menggunakan istilah-istilah asing. Sehingga, kata dia, debat cawapres dapat berlangsung dengan jelas dan mudah dipahami publik.  Tim Kampanye Donald Trump Cari Cara Menangkan Suara dari Kalangan Kulit Hitam  ""Mudah-mudahan tidak terjadi seperti debat yang lalu ada singkatan-singkatan mudah-mudahan ini clear semua. Karena sudah diberi contoh sama Pak Anies di debat ketiga,"" katanya.  Anies dan Cak Imin (Amin) merupakan capres-cawapres dengan nomor urut satu. Pencalonan mereka didukung oleh Kolaisi Perubahan. Koalisi tersebut digawangi oleh Parpol Nasdem, Partai Kebangkitan Bangsa (PKB), Partai Keadilan Sejahtera (PKS).  ",Debat Cawapres,Cak Imin,Anies,Pilpres 2024,Pemilu 2024,tempo
Benyamin-Pilar Saga Akan Kembali Maju di Pilwalkot Tangsel 2024,"Rabu, 17 Apr 2024 22:23 WIB",https://news.detik.com/pemilu/d-7297512/benyamin-pilar-saga-akan-kembali-maju-di-pilwalkot-tangsel-2024,"Walikota dan Wakil Walikota Tangerang Selatan (Tangsel) Benyamin Davnie dan Pilar Saga Ichsan akan kembali mencalonkan diri pada Pilkada 2024. Benyamin mengaku siap kembali memimpin Tangerang Selatan. ""Yang pasti dalam Pilkada Tangsel 2024 mendatang saya berpasangan kembali dengan Bang Pilar sebagai bakal calon Wali Kota dan calon Wakil Wali Kota Tangsel,"" ujar Benyamin, dalam keterangan tertulis yang diterima, Rabu (17/4/2024). Benyamin mengaku dirinya dan Pilar telah mendapatkan surat tugas ataupun rekomendasi dari DPP Golkar untuk kembali maju Pilkada di Tangsel.   ""Saya dari DPP Golkar sudah, alhamdulilah dengan Bang Pilar kami berdua diberikan surat untuk maju lagi di Pilkada 2024,"" ujar Benyamin. ""Rekomendasi DPP Golkar di Tangsel hanya saya dan Bang Pilar saja tidak ada nama lain,"" sambungnya. Atas rekomendasi tersebut, Benyamin juga menegaskan akan terus melanjutkan programnya yang telah dilakukan selama memimpin Kota Tangsel. Beberapa diantaranya menurut Benyamin yakni bedah rumah, pembangunan infrastruktur hingga target penurunan stunting. ""Kita lanjutkan kembali program-program yang telah kita canangkan. Seperti bedah rumah, Tangsel terang, pembangunan infrastruktur, pelebaran drainase serta target-target lainnya termasuk melanjutkan keberhasilan penurunan angka stunting di Tangerang Selatan,"" tutupnya. Sementara itu, Pilar juga mengaku siap atas surat tugas DPP Golkar untuk melanjutkan kebersamaan dengan Benyamin Davnie dalam memimpin Kota Tangsel. ""Kalau bicara kesiapan, sebagai kader partai saya harus siap terus,"" kata Pilar. Terlebih menurutnya, pengalaman memimpin Tangsel di periode pertama ini, akan semakin memperkuat keberlanjutan atas program-program yang telah, sedang dan akan dilanjutkan. ""Kami akan terus lanjutkan program bedah rumah, beasiswa bagi hafidz Qur'an, pembangunan infrastruktur, ruang terbuka hijau, hingga pengentasan kemiskinan dan penurunan angka stunting,"" ujar Pilar. ""Apa yang sudah dilakukan selama ini memimpin Tangsel bersama Pak Ben, ya kami akan lanjutkan,"" tuturnya.",benyamin davnie,walkot tangsel benyamin davnie,pilar saga ichsan,nan,nan,detik
